owner,repo,issue_number,closed_event_created_at,commit_id,commit_url,closed_by,closure_type
scrapy,scrapy,4496,2020-04-16 13:19:47+00:00,,,kmike,manual_or_unknown
scrapy,scrapy,4027,2020-04-23 12:19:46+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,4511,2020-04-27 17:45:19+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,4346,2020-05-07 09:06:12+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,4570,2020-05-13 21:02:04+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,4578,2020-05-19 15:45:21+00:00,,,kmike,manual_or_unknown
scrapy,scrapy,4510,2020-05-20 17:23:43+00:00,,,kmike,manual_or_unknown
scrapy,scrapy,4514,2020-05-22 18:12:59+00:00,,,kmike,manual_or_unknown
scrapy,scrapy,4597,2020-05-27 16:42:05+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,4592,2020-06-01 21:30:34+00:00,,,kmike,manual_or_unknown
scrapy,scrapy,4621,2020-06-17 15:08:15+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,4619,2020-06-23 10:33:49+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,4644,2020-06-25 13:36:44+00:00,,,kmike,manual_or_unknown
scrapy,scrapy,4662,2020-07-13 11:01:07+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,4667,2020-07-28 09:15:15+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,4393,2020-07-28 11:13:20+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,4702,2020-07-30 06:27:26+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,4547,2020-08-04 18:34:12+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,4671,2020-08-14 09:47:56+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,4726,2020-08-25 06:48:31+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,4760,2020-08-28 09:33:22+00:00,,,quochung-cyou,manual_or_unknown
scrapy,scrapy,4805,2020-10-01 18:46:15+00:00,,,kmike,manual_or_unknown
scrapy,scrapy,4643,2020-10-01 18:53:09+00:00,,,kmike,manual_or_unknown
scrapy,scrapy,4766,2020-10-02 18:38:14+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,4717,2020-10-08 15:20:33+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,4802,2020-10-20 08:55:08+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,4857,2020-11-04 21:29:37+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,4887,2020-11-16 14:38:00+00:00,,,elacuesta,manual_or_unknown
scrapy,scrapy,4841,2020-11-18 06:38:10+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,4893,2020-11-18 11:11:00+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,4907,2020-11-29 20:28:13+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,4892,2020-12-03 09:56:37+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,4920,2020-12-13 09:25:46+00:00,,,matsievskiysv,manual_or_unknown
pallets,flask,3776,2021-02-02 04:45:03+00:00,,,davidism,manual_or_unknown
scrapy,scrapy,4829,2021-02-24 20:50:00+00:00,,,kmike,manual_or_unknown
scrapy,scrapy,5020,2021-03-19 17:39:44+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,4477,2021-03-22 14:51:12+00:00,,,elacuesta,manual_or_unknown
scrapy,scrapy,5085,2021-04-14 17:02:00+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,5080,2021-04-21 09:30:50+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,5105,2021-04-26 18:09:23+00:00,,,Gallaecio,manual_or_unknown
