owner,repo,issue_number,title,state,created_at,closed_at,comments,labels,html_url
psf,requests,1335,Content-Length header is duplicated on Python3,closed,2013-04-30T02:58:10Z,2013-06-08T09:57:00Z,6,Bug;Contributor Friendly,https://github.com/psf/requests/issues/1335
psf,requests,1324,Session with CookieJar/LWPCookieJar cause AttributeError,closed,2013-04-25T01:22:58Z,2013-04-26T10:57:36Z,3,Bug,https://github.com/psf/requests/issues/1324
psf,requests,1261,Issue arising from #1190,closed,2013-03-23T01:21:55Z,2013-03-27T18:31:37Z,11,Bug,https://github.com/psf/requests/issues/1261
psf,requests,1189,Multiple Cookies on Redirect,closed,2013-02-13T23:09:02Z,2013-02-17T01:17:07Z,8,Bug,https://github.com/psf/requests/issues/1189
psf,requests,1124,"SSLError from imgur API, however proper cert appears via Chrome",closed,2013-01-22T03:01:58Z,2013-02-10T22:37:55Z,12,Bug,https://github.com/psf/requests/issues/1124
psf,requests,1102,address compromised TURKTRUST certificates,closed,2013-01-15T11:30:17Z,2013-01-17T10:53:19Z,6,Bug,https://github.com/psf/requests/issues/1102
psf,requests,1096,OAuth 1 requests with BODY signature_type send no body data and set Content-Length: 0 ,closed,2013-01-11T19:44:55Z,2013-02-10T22:55:13Z,1,Bug;Contributor Friendly,https://github.com/psf/requests/issues/1096
psf,requests,1084,POST and PUT on 307 redirect will re-POST without body,closed,2013-01-04T16:55:35Z,2013-03-31T05:21:52Z,13,Bug,https://github.com/psf/requests/issues/1084
psf,requests,1029,"Since 1.0, seeing a large amount of ""Cannot assign requested address"" socket.errors",closed,2012-12-18T00:56:01Z,2012-12-18T02:51:40Z,8,Bug,https://github.com/psf/requests/issues/1029
psf,requests,910,POST with json data and oauth auth_header signature_type not working,closed,2012-10-25T17:29:41Z,2013-04-01T18:40:16Z,32,Bug,https://github.com/psf/requests/issues/910
psf,requests,875,Keep-alive doesn't work over http proxy,closed,2012-10-01T16:28:39Z,2012-12-03T10:09:18Z,11,Bug,https://github.com/psf/requests/issues/875
psf,requests,862,digest authentication fails because of wrongly nonce-count,closed,2012-09-20T06:47:59Z,2012-11-17T11:04:27Z,5,Bug,https://github.com/psf/requests/issues/862
psf,requests,851,"SSL ""unknown protocol"" is returned when it should be ""certificate verify failed""",closed,2012-09-13T02:17:35Z,2013-01-21T20:23:07Z,18,Bug;Contributor Friendly,https://github.com/psf/requests/issues/851
psf,requests,844,umbrella ticket to resolve iteration / read size / chunked encoding questions,closed,2012-09-07T03:54:10Z,2015-01-19T09:29:14Z,52,Bug;Contributor Friendly;Propose Close,https://github.com/psf/requests/issues/844
psf,requests,771,socket leak (suspected due to redirection),closed,2012-08-10T12:21:29Z,2012-11-17T11:17:01Z,47,Bug,https://github.com/psf/requests/issues/771
